,Category,Subcategory,Difficulty,Solution,Prerequisite,Hint,Task,Sample Input,Sample Output,Cyclomatic Complexity,Halstead Difficulty,Halstead Effort,Halstead Volume,Halstead Time,SLoC,Logical SLoC,Number of Functions,Number of Classes,Number of Lines,Number of Comments,Diff SLoC LLoC,Maintainability Index,Student ID,Demanding,Effort,Satisfied,Stress,Exercise ID,Num of Bursts,Total Keystrokes,Total Time,Avg. Latency,Num of Deletions,Num of Insertions,Edit Ratio,Freq of nan,Freq of Enter,Freq of KeyD,Freq of KeyE,Freq of KeyF,Freq of Space,Freq of KeyC,Freq of KeyO,Freq of KeyU,Freq of KeyN,Freq of KeyT,Freq of ShiftLeft,Freq of Minus,Freq of KeyV,Freq of KeyW,Freq of KeyL,Freq of KeyS,Freq of Digit9,Freq of KeyR,Freq of ArrowRight,Freq of Backspace,Freq of Tab,Freq of ArrowLeft,Freq of Semicolon,Freq of ArrowDown,Freq of Equal,Freq of BracketLeft,Freq of BracketRight,Freq of Quote,Freq of KeyA,Freq of Comma,Freq of KeyI,Freq of KeyG,Freq of Digit0,Freq of Backslash,Freq of KeyP,Freq of Digit1,Freq of KeyM,Freq of ArrowUp,Freq of Period,Freq of ControlLeft,Freq of Delete,Freq of KeyH,Freq of KeyJ,Freq of Digit2,Freq of KeyB,Freq of Digit3,Freq of Digit5,Freq of Digit6,Freq of KeyZ,Freq of ShiftRight,Freq of KeyX,Freq of KeyY,Freq of Slash,Freq of Digit4,Freq of Digit7,Freq of Digit8,Freq of KeyQ,Freq of Insert,Freq of Home,Freq of MetaLeft,Freq of KeyK,Freq of NumpadSubtract,Freq of MetaRight,Freq of Numpad0,Freq of End,Freq of AltLeft,Freq of Backquote,Freq of CapsLock,Freq of Numpad4,Freq of PageDown,Freq of Escape,Freq of NumpadAdd,Freq of Numpad1,Freq of Numpad2,Freq of NumpadMultiply,Freq of NumpadDecimal,Freq of Numpad5,Freq of Numpad6,Freq of NumpadEnter,Freq of Numpad3,Freq of Numpad8,Freq of Numpad7,Freq of ControlRight,Freq of PageUp,Short Pause,Num of Code Executions,Num of AI Feedback Calls,Num of Editor Actives,Num of Editor Inactives,Large Editor Deactives,Medium Editor Deactives,Small Editor Deactives,Large Editor Deactive Time (Mean),Medium Editor Deactive Time (Mean),Small Editor Deactive Time (Mean),Num of Page Actives,Num of Page Inactives,Large Page Deactives,Medium Page Deactives,Small Page Deactives,Large Page Deactive Time (Mean),Medium Page Deactive Time (Mean),Small Page Deactive Time (Mean),Final Grade,Function Definition,Recursion,Conditional Statements,Loops,Class Definition,Instance Variables,Mathematical Operations,List Operations,String Operations,Nested Data Structures,Error Handling,State Management,Mathematical Sequences,Cognitive Load
0,for_loops,for_loop_with_range_iterate_over_string,easy,"def count_vowels(word):
    count = 0
    vowels = 'aeiou'
    for i in range(len(word)):
        if word[i].lower() in vowels:
            count += 1
    return count

# Example usage:
print(count_vowels('umbrella')) # Outputs: 3","Students should be familiar with for loops, the range function, and basic string operations.",Convert the input string to lowercase to simplify checking and use a loop to count vowels.,"Write a Python program that asks the user to input a word and then uses a for loop with range to count the number of vowels ('a', 'e', 'i', 'o', 'u') in the word. The program should print the total number of vowels found.",`count_vowels('umbrella')`,`3` because there are 3 vowels in 'umbrella'.,0,1,0,0,1,0,1,0,0,1,1,1,100.0,Student_1,4,2,4,3,586,26.0,449.0,622.16,1.38875,77.0,344.0,0.9376391982182628,0.0,20.0,7.0,27.0,4.0,28.0,5.0,27.0,9.0,20.0,16.0,35.0,4.0,7.0,18.0,21.0,5.0,13.0,18.0,9.0,43.0,6.0,12.0,5.0,6.0,7.0,3.0,3.0,16.0,6.0,4.0,15.0,1.0,7.0,1.0,7.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,38,3,17.0,16.0,3.0,20.0,9.0,96.332666715,17.27469999785,2.8906666703333337,,,,,,,,,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.5999999999999999
1,for_loops,nested_for_loop,medium,"def is_prime(num):
    if num < 2:
        return False
    for i in range(2, int(num**0.5) + 1):
        if num % i == 0:
            return False
    return True

def find_prime_pairs(N):
    primes = [i for i in range(2, N+1) if is_prime(i)]
    pairs = [(x, y) for x, y in zip(primes, primes[1:]) if y - x == 6]
    return pairs

# Example usage:
print(find_prime_pairs(30)) # Outputs: [(5, 11), (7, 13), (11, 17), (13, 19), (17, 23), (23, 29)]","Students should know how to define functions, use for loops, list comprehensions, and understand the concept of prime numbers.","First, create a helper function to check for prime numbers. Then, generate a list of primes and find pairs that satisfy the 'sexy primes' condition.","Write a Python function `find_prime_pairs` that takes an integer `N` and returns a list of tuples, where each tuple (`x`, `y`) represents a pair of prime numbers such that `x < y <= N` and `y - x == 6`. This difference of 6 is sometimes referred to as 'sexy primes'.",`find_prime_pairs(30)`,"`[(5, 11), (7, 13), (11, 17), (13, 19), (17, 23), (23, 29)]` because these are the pairs of primes less than 30 that are 6 units apart.",13,30,26,24,0,6,0,3,0,30,0,6,54.114685550898635,Student_1,8,5,4,4,683,32.0,912.0,1124.001999,1.2338111953896818,160.0,701.0,0.944078947368421,0.0,36.0,12.0,63.0,21.0,55.0,0.0,7.0,22.0,45.0,23.0,69.0,13.0,0.0,2.0,22.0,25.0,23.0,57.0,17.0,106.0,15.0,7.0,14.0,6.0,13.0,10.0,10.0,2.0,16.0,4.0,62.0,6.0,14.0,1.0,46.0,3.0,35.0,4.0,7.0,2.0,0.0,3.0,5.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,19,3,20.0,20.0,6.0,20.0,14.0,151.90250007333336,12.99585001465,2.671499950571429,7.0,7.0,2.0,8.0,3.0,540.9595000735,29.791124999749997,3.9950000446666665,85.0,1,-1,1,1,-1,-1,1,1,-1,-1,-1,-1,0,3.9000000000000004
2,for_loops,for_and_while_loop_combo,hard,"def generate_substrings(s):
    substrings = []
    for start in range(len(s)):
        end = start
        while end < len(s):
            substrings.append(s[start:end+1])
            end += 1
    return substrings

# Example usage:
print(generate_substrings('abc')) # Outputs the specified sample output","Students should be comfortable with string slicing, manipulating lists, and nested loops in Python.",Use the index from the `for` loop as the starting point and expand the end index using the `while` loop to create each substring.,Write a Python program that uses a combination of `for` and `while` loops to construct a list of all the substrings of a given string `s`. Your function `generate_substrings` should take a single argument `s` and return a list of all possible contiguous substrings. Use the `for` loop to control the starting point of each substring and the nested `while` loop to extend the substring character by character until the end of the string is reached.,`generate_substrings('abc')`,"`['a', 'ab', 'abc', 'b', 'bc', 'c']` because these are all the contiguous substrings that can be formed from the string 'abc'.",4,14,12,11,0,3,0,2,0,14,0,3,66.48564167496583,Student_1,7,4,5,3,760,8.0,373.0,418.575999,1.125204298387097,50.0,294.0,0.9222520107238605,0.0,19.0,14.0,22.0,5.0,21.0,2.0,3.0,6.0,28.0,14.0,37.0,9.0,0.0,1.0,8.0,25.0,9.0,14.0,9.0,29.0,3.0,1.0,8.0,4.0,7.0,2.0,1.0,2.0,9.0,1.0,23.0,9.0,4.0,1.0,3.0,3.0,4.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,9,3,7.0,7.0,2.0,10.0,2.0,169.948500037,20.1768999816,3.4865000244999997,4.0,4.0,2.0,5.0,1.0,236.4645000695,18.876199913,2.305000067,100.0,1,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,2.9
3,recursion,handling_recursion_depth,easy,"def fibonacci(n):
    if n <= 0:
        return 0
    elif n == 1:
        return 1
    else:
        return fibonacci(n-1) + fibonacci(n-2)

# Example usage:
print(fibonacci(6)) # Outputs: 8",The students should be comfortable with recursion and should understand the Fibonacci sequence.,Define the base cases for when `n` is 0 or 1 and use recursion to express the relation `F(n) = F(n-1) + F(n-2)`.,"Construct a recursive Python function called `fibonacci` that will return the `n`-th number in the Fibonacci sequence. The sequence starts with 0 and 1, and every number thereafter is the sum of the previous two.",`fibonacci(6)`,"`8` because the Fibonacci sequence up to the 6th number is: 0, 1, 1, 2, 3, 5, 8.",4,8,8,6,0,2,0,2,0,8,0,2,68.15316067222922,Student_1,2,1,5,1,434,8.0,208.0,142.010999,0.6860434734299516,27.0,169.0,0.9423076923076923,0.0,9.0,2.0,5.0,8.0,19.0,8.0,5.0,9.0,16.0,5.0,15.0,2.0,0.0,0.0,0.0,0.0,7.0,7.0,3.0,21.0,0.0,1.0,5.0,0.0,5.0,0.0,0.0,0.0,7.0,0.0,14.0,0.0,9.0,0.0,1.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,9,0,8.0,8.0,1.0,5.0,10.0,96.488999843,8.187200021999999,2.1549000263,1.0,1.0,1.0,1.0,0.0,165.994000196,20.951999903,0.0,85.0,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,0.09999999999999987
4,recursion,defining_a_recursive_function,medium,"def recursive_reverse(s):
    if len(s) == 0:
        return s
    else:
        return s[-1] + recursive_reverse(s[:-1])

# Example usage:
print(recursive_reverse('hello'))  # Outputs: 'olleh'",Students should understand the concept of string slicing and recursion in Python.,Consider the last character of the string and recursively reverse the remaining part of the string.,"Write a Python function named `recursive_reverse` that takes a string as input and returns the string reversed using recursion. If the input string is empty, the function should return an empty string.",`recursive_reverse('hello')`,`'olleh'` because the reverse of the string 'hello' is 'olleh'.,3,14,12,10,0,4,0,2,0,14,0,4,65.9998030653467,Student_1,9,5,5,4,568,17.0,623.0,1054.954,1.6960675241157555,119.0,484.0,0.9678972712680578,0.0,21.0,16.0,46.0,8.0,44.0,6.0,5.0,10.0,38.0,25.0,48.0,15.0,8.0,1.0,5.0,27.0,11.0,53.0,15.0,72.0,12.0,1.0,8.0,1.0,17.0,4.0,4.0,5.0,8.0,0.0,35.0,13.0,11.0,0.0,2.0,4.0,7.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,8,5,13.0,13.0,3.0,13.0,10.0,95.38500006966667,20.48576918015385,2.2797999618,2.0,2.0,1.0,2.0,1.0,1144.819999933,32.2725001575,4.46999979,100.0,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,3.999999999999999
5,recursion,defining_a_recursive_function,hard,"def flatten_list(lst):
    flat_list = []
    for item in lst:
        if isinstance(item, list):
            flat_list.extend(flatten_list(item))
        else:
            flat_list.append(item)
    return flat_list

# Example usage:
print(flatten_list([1, [2, [3, 4], [[5]], 6, 7], 8])) # Outputs: [1, 2, 3, 4, 5, 6, 7, 8]","Students should know how to use lists, loops, recursion, and type checking with `isinstance`.","Use a for loop to iterate through each element. For each list found, call the function recursively; otherwise, add the element to the resulting list.",Develop a Python program that defines a recursive function named `flatten_list` which takes a list with nested lists of arbitrary depth and returns a flat list containing all the elements in a single list with no nesting.,"`flatten_list([1, [2, [3, 4], [[5]], 6, 7], 8])`","`[1, 2, 3, 4, 5, 6, 7, 8]` because the nested list structures have been removed and all elements are in one flat list.",0,0,0,0,0,0,0,0,0,0,0,0,0.0,Student_1,8,4,5,3,547,12.0,344.0,385.49,1.1238775510204082,71.0,276.0,1.0087209302325582,0.0,14.0,4.0,13.0,11.0,10.0,3.0,2.0,4.0,18.0,29.0,26.0,7.0,0.0,0.0,19.0,17.0,10.0,5.0,8.0,34.0,4.0,1.0,6.0,0.0,1.0,9.0,7.0,0.0,13.0,9.0,30.0,1.0,5.0,0.0,7.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,6,2,10.0,10.0,3.0,11.0,6.0,75.14433336233333,13.006545435181819,2.6046667895,5.0,5.0,3.0,5.0,2.0,133.149666548,12.353399992,1.159500241,50.0,1,1,1,0,-1,-1,-1,0,-1,1,-1,-1,-1,3.1999999999999993
6,classes_and_objects,creating_a_class,easy,"class Rectangle:
    def __init__(self, length, width):
        self.length = length
        self.width = width

    def area(self):
        return self.length * self.width

    def perimeter(self):
        return 2 * (self.length + self.width)

# Example usage:
my_rectangle = Rectangle(10, 5)
print('Area:', my_rectangle.area()) # Outputs: Area: 50
print('Perimeter:', my_rectangle.perimeter()) # Outputs: Perimeter: 30","Students should understand basic class construction, attribute definition, and use of self to access attributes.","Remember that the area of a rectangle can be calculated by multiplying its length by its width, and the perimeter is the sum of the lengths of all sides.","Create a Python class named `Rectangle` with two attributes: `length` and `width`. The class should have two methods: `area` which returns the area of the rectangle, and `perimeter` which returns the perimeter of the rectangle.","`my_rectangle = Rectangle(10, 5)
print('Area:', my_rectangle.area())
print('Perimeter:', my_rectangle.perimeter())`","`Area: 50
Perimeter: 30` because the area is length * width and the perimeter is 2 * (length + width).",6,17,13,13,0,4,0,5,1,17,0,4,64.09767520507738,Student_1,5,4,5,2,2171,5.0,449.0,283.986999,0.6338995513392858,80.0,362.0,0.9844097995545658,0.0,20.0,9.0,41.0,13.0,31.0,7.0,0.0,5.0,18.0,24.0,35.0,5.0,0.0,5.0,21.0,13.0,12.0,22.0,12.0,40.0,6.0,0.0,8.0,1.0,4.0,0.0,0.0,2.0,14.0,5.0,13.0,9.0,7.0,0.0,5.0,1.0,7.0,0.0,8.0,0.0,0.0,12.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,1,8.0,8.0,2.0,8.0,5.0,77.58549988249999,15.253749996375001,2.2621999738,6.0,6.0,1.0,7.0,4.0,204.943000078,19.84742845814286,2.2090001105,100.0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,2.1
7,classes_and_objects,inheritance,medium,"class Shape:
    def __init__(self, color):
        self.color = color

class Square(Shape):
    def __init__(self, color, side):
        super().__init__(color)
        self.side = side

    def area(self):
        return self.side ** 2

# Example usage:
square = Square('blue', 3)
print(square.area())  # Outputs: 9","Students should be aware of class inheritance, the `super()` function, and how to override methods in subclasses.",Don't forget to call the initializer of the parent `Shape` class using `super()` and override the `area` method for `Square`.,Inherit from a class `Shape` to create a subclass `Square`. The `Shape` class has an instance variable `color`. The `Square` class is initialized with `color` and `side` (the length of a side of the square). Implement the method `area` in the `Square` class that calculates and returns the area of the square.,"square = Square('blue', 3)
print(square.area())",`9` because the area of a square with a side length of 3 is `3*3`.,8,17,13,13,0,4,0,6,2,17,0,4,70.42112316808037,Student_1,5,3,4,2,1949,10.0,371.0,253.494,0.685118918918919,57.0,285.0,0.921832884097035,0.0,21.0,10.0,26.0,12.0,23.0,8.0,12.0,8.0,9.0,7.0,29.0,8.0,0.0,0.0,15.0,23.0,11.0,16.0,9.0,39.0,3.0,2.0,7.0,4.0,4.0,0.0,0.0,1.0,13.0,5.0,14.0,0.0,6.0,0.0,5.0,0.0,3.0,2.0,5.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,6,2,8.0,8.0,1.0,8.0,7.0,89.693000078,19.44937497375,1.8222857542857145,1.0,1.0,1.0,1.0,0.0,297.220999956,49.370000124,0.0,75.0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1.9999999999999998
8,classes_and_objects,defining_attributes_and_methods,hard,"import time

class Timer:
    def __init__(self):
        self.start_time = None
        self.end_time = None

    def start(self):
        self.start_time = time.time()
        self.end_time = None

    def stop(self):
        if self.start_time is None:
            raise ValueError('Timer must be started before it can be stopped.')
        self.end_time = time.time()

    def duration(self):
        if self.start_time is None or self.end_time is None:
            raise ValueError('Timer must be started and stopped to get the duration.')
        return self.end_time - self.start_time

# Example usage:
t = Timer()
t.start()
time.sleep(2)
t.stop()
print(t.duration()) # Outputs: 2.0 (approximately)","Students should be familiar with basic class creation, error handling using exceptions, and working with the `time` module.",Use `time.time()` to get the current time. Make sure the timer is in the correct state before allowing `stop` and `duration` to be called.,"In this exercise, you will create a Python class called `Timer`. The class should have methods to `start` the timer, `stop` the timer, and `duration` which should return the time elapsed between the start and stop times in seconds. Additionally, include error handling to ensure that `stop` cannot be called before `start` and that `duration` cannot be called unless the timer has been both started and stopped. Use the `time` module from Python's standard library to get the current time.","`t = Timer() 
t.start() 
# assume a duration of 2 seconds between start and stop 
time.sleep(2) 
t.stop() 
print(t.duration())`","`2.0` or close to `2.0`, depending on the actual time elapsed.",0,0,0,0,0,0,0,0,0,0,0,0,0.0,Student_1,5,3,4,4,2135,10.0,702.0,504.59,0.71981455064194,88.0,556.0,0.9173789173789174,0.0,41.0,12.0,51.0,23.0,40.0,3.0,20.0,15.0,30.0,55.0,50.0,13.0,0.0,1.0,33.0,34.0,16.0,27.0,5.0,63.0,7.0,16.0,9.0,3.0,15.0,0.0,0.0,1.0,17.0,1.0,30.0,0.0,12.0,1.0,11.0,1.0,20.0,4.0,18.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,9,3,10.0,10.0,1.0,10.0,9.0,70.106999874,17.716999983700003,2.8368888696666668,5.0,5.0,1.0,5.0,4.0,481.68900013,21.602799988,1.2294999954999999,80.0,1,-1,0,-1,1,1,1,-1,-1,-1,-1,-1,-1,2.4000000000000004
9,for_loops,for_loop_with_range_iterate_over_string,easy,"def count_vowels(word):
    count = 0
    vowels = 'aeiou'
    for i in range(len(word)):
        if word[i].lower() in vowels:
            count += 1
    return count

# Example usage:
print(count_vowels('umbrella')) # Outputs: 3","Students should be familiar with for loops, the range function, and basic string operations.",Convert the input string to lowercase to simplify checking and use a loop to count vowels.,"Write a Python program that asks the user to input a word and then uses a for loop with range to count the number of vowels ('a', 'e', 'i', 'o', 'u') in the word. The program should print the total number of vowels found.",`count_vowels('umbrella')`,`3` because there are 3 vowels in 'umbrella'.,3,10,8,8,1,1,1,1,0,10,1,0,89.42957974937883,Student_2,3,1,4,1,586,11.0,307.0,342.791,1.1202320261437908,22.0,224.0,0.8013029315960912,0.0,9.0,5.0,14.0,4.0,23.0,0.0,15.0,4.0,10.0,8.0,0.0,0.0,4.0,9.0,9.0,7.0,8.0,10.0,20.0,19.0,1.0,0.0,5.0,1.0,7.0,3.0,0.0,23.0,8.0,9.0,12.0,1.0,5.0,0.0,4.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,9,1,7.0,7.0,0.0,9.0,4.0,0.0,17.741666634888887,3.144500017,,,,,,,,,60.0,1,-1,1,1,-1,-1,1,0,1,-1,-1,-1,-1,0.5999999999999999
