,user_id,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,Q_RecaptchaScore,Q5,Q1,Q1_1_TEXT,Q2,Q2_3_TEXT,Q3,Q3_6_TEXT,Q4,Q5.1,Q6.1,Q6_1_TEXT,Q7,Q7_1_TEXT,Q8,Q8_1_TEXT,Q9,Q1-2_6,Q1-3,Q1-4,Q1-5,Q1-6,Q1-7,Q286_6,Q287,Q288,Q289,Q290,Q291,Q293_6,Q294,Q295,Q296,Q297,Q298,Q300_6,Q301,Q302,Q303,Q304,Q305,Q307_6,Q308,Q309,Q310,Q311,Q312,Q314_6,Q315,Q316,Q317,Q318,Q319,Q321_6,Q322,Q323,Q324,Q325,Q326,Q328_6,Q329,Q330,Q331,Q332,Q333,Q335_6,Q336,Q337,Q338,Q339,Q340
0,Student_1,10/29/2024 10:45,10/29/2024 12:29,IP Address,100,6191,TRUE,10/29/2024 12:29,1,I DO consent,"Age (number e.g., 23)",22,Man,,White or Caucasian,,Sophomore,Computer Science,"Grade (e.g., A+, A-, etc)",A,"GPA (e.g., 3.65)",3.95,"Semester (e.g., Fall 2023)",Spring 2023,Advanced,4,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,,8,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,"The AI seems to consider any comment to be a prompt injection attempt. Here, it even quoted a comment which doesn't exist in my code.",7,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,The AI found a non-existent comment and flagged it as a prompt injection attempt,2,Strongly disagree,Strongly agree,Strongly disagree,,,9,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,The AI mentioned that I wasn't following the coding convention of using lowercase words for functions when I was. The AI also flagged the string input for the function as an attempt at code injecting.,8,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,,5,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,,5,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,The AI gave another warning about prompt injection for something that isn't there. But it was helpful with initializing the parent class.,5,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,The AI somehow misread my variable names and thought I was using two different names for the same variable
1,Student_2,10/29/2024 10:56,10/29/2024 13:45,IP Address,100,10105,TRUE,10/29/2024 13:45,1,I DO consent,"Age (number e.g., 23)",20,Man,,White or Caucasian,,Junior,Computer Science,"Grade (e.g., A+, A-, etc)",B+,Prefer not to say,,"Semester (e.g., Fall 2023)",Spring 2023,Intermediate,3,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,,5,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,,3,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,,4,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,I like the AI feedback on test cases that may cause issues in the code,4,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Good feedback from AI on what might cause issued in the code with certain cases,6,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Good reminders from AI on what modules could complete a helpful task,3,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,"I blanked on class declaration with self variables, but the AI was able to guide me to the correct syntax",5,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Gave decent info on what I needed to fix for inheritance syntax for classes,3,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Gave decent advice on inputs or cases that may cause issues
2,Student_3,10/30/2024 11:29,10/30/2024 13:13,IP Address,100,6258,TRUE,10/30/2024 13:13,1,I DO consent,"Age (number e.g., 23)",21,Man,,White or Caucasian,,Senior,Computer Science,"Grade (e.g., A+, A-, etc)",A,"GPA (e.g., 3.65)",3,"Semester (e.g., Fall 2023)",Fall 2021,Intermediate,3,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,"I liked the AI helper. It gave a few useful suggestions, but I did leave a comment for myself that it thought was an AI injection and it wasn't happy about that. That's on me. I was not trying to cheat",5,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,"The feedback from the AI wasn't as good on this one, but it still gave a good suggestion I'd use again in the future",3,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,"This one it suggested to find a way other than nested loops, but the peompt was using nested loops to do this",5,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,,3,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,"This one it wasn't extremely helpful, but it did suggest a new variable name I used",7,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,,2,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,,4,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,"I haven't done python classes in a while, so I initially called super() wrong and the AI helped correct me",4,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,It helped me catch a couple bugs
3,Student_4,10/30/2024 11:33,10/30/2024 13:20,IP Address,100,6421,TRUE,10/30/2024 13:20,1,I DO consent,"Age (number e.g., 23)",21,Man,,White or Caucasian,,Sophomore,Computer Science,"Grade (e.g., A+, A-, etc)",A,"GPA (e.g., 3.65)",3.93,"Semester (e.g., Fall 2023)",Spring 2021,Intermediate,4,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,,5,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,"The ai suggested that I should check just the square root of a number for primes, rather than just every number less than it, but threw an error when I imported math.sqrt",5,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,,3,Somewhat disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,,5,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,3,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,,3,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,,4,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,,5,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,
4,Student_5,11/4/2024 11:32,11/4/2024 12:42,IP Address,100,4218,TRUE,11/4/2024 12:42,1,I DO consent,"Age (number e.g., 23)",22,Man,,White or Caucasian,,Junior,computer science,"Grade (e.g., A+, A-, etc)",A,"GPA (e.g., 3.65)",3.7,"Semester (e.g., Fall 2023)",Fall 2022,Intermediate,1,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,"AI feedback was very helpful. I did the exercise pretty quickly and forgot a few things that would be good, like setting the user input to all lowercase and the AI caught that.",5,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,,5,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,,3,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,,4,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,,7,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,"I'm very rusty on recursion, the AI feedback helped coach me through it without explicitly showing me how to complete the problem and taught me new useful functions/methods that I haven't used before",2,Strongly disagree,Strongly agree,Strongly disagree,Somewhat disagree,,2,Strongly disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,The feedback was about expanding the functionality of my code,2,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,"Feedback is pretty much the same on the ones I do correctly, ""add comments"", ""change variable names"", ""add whitespace"" etc"
5,Student_6,10/30/2024 10:12,11/4/2024 12:51,IP Address,100,445147,TRUE,11/4/2024 12:51,1,I DO consent,"Age (number e.g., 23)",20,Woman,,White or Caucasian,,Senior,Computer Science,"Grade (e.g., A+, A-, etc)",A,"GPA (e.g., 3.65)",3.3,"Semester (e.g., Fall 2023)",Fall 2022,Advanced,4,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,give an indicator to show the code was submitted successfully,4,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,,4,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,,3,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Check your numbers on this survey there are duplicates,2,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,,3,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,,3,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,,3,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,,4,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,
6,Student_7,11/5/2024 10:00,11/5/2024 11:45,IP Address,100,6281,TRUE,11/5/2024 11:45,1,I DO consent,"Age (number e.g., 23)",22,Man,,White or Caucasian,,Sophomore,Computer Science,"Grade (e.g., A+, A-, etc)",A,"GPA (e.g., 3.65)",3.97,"Semester (e.g., Fall 2023)",Fall 2023,Intermediate,2,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,,5,Somewhat agree,Somewhat agree,Neither agree nor disagree,,,4,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,,7,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,,8,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,,4,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,,4,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,,10,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,I couldn't complete the exercise. I wasn't taught inheritance in my CS 1400 class.,4,Neither agree nor disagree,Somewhat agree,Somewhat disagree,,
7,Student_8,11/5/2024 10:01,11/5/2024 13:05,IP Address,100,11046,TRUE,11/5/2024 13:05,0.899999976,I DO consent,"Age (number e.g., 23)",22,Man,,White or Caucasian,,Sophomore,computer science,"Grade (e.g., A+, A-, etc)",A,"GPA (e.g., 3.65)",3.45,"Semester (e.g., Fall 2023)",Fall 2023,Intermediate,4,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,,6,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,,7,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,,7,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,,8,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,,8,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,,4,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,9,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly disagree,,10,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,
8,Student_9,11/6/2024 10:33,11/6/2024 12:02,IP Address,100,5315,TRUE,11/6/2024 12:02,0.600000024,I DO consent,"Age (number e.g., 23)",23,Man,,White or Caucasian,,Junior,,"Grade (e.g., A+, A-, etc)",A,Prefer not to say,,"Semester (e.g., Fall 2023)",Fall 2019,Advanced,3,Strongly disagree,Strongly agree,Strongly disagree,,,5,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,"The AI was able to help me find a logic error in my code, where I was adding numbers rather than subtracting them",4,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,"The AI taught me that string slicing excludes the end index, which I didn't know/had forgotten",3,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,,4,Somewhat disagree,Strongly agree,Strongly disagree,,,7,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,,4,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,The AI helped me remember syntax for member variables,5,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,,6,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,
9,Student_10,11/6/2024 10:36,11/6/2024 12:41,IP Address,100,7501,TRUE,11/6/2024 12:41,1,I DO consent,"Age (number e.g., 23)",24,Man,,Prefer not to say,,Junior,Computer Science,"Grade (e.g., A+, A-, etc)",A,"GPA (e.g., 3.65)",3.4,"Semester (e.g., Fall 2023)",Fall 2021,Intermediate,1,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,"The AI feedback was good, however one of the points that it made was to use string formatting to get my final output out more cleanly.  When I used an fstring though, the AI feedback then gave me a warning about using code injections.  It still ran fine, but the red warning text was a little concerning.",2,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,The ai feedback was spot on! it caught my error of entering index values rather than the list at that index.  ,3,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,,3,Somewhat disagree,Somewhat agree,Somewhat disagree,,,2,Strongly disagree,Strongly agree,Somewhat disagree,,,3,Somewhat disagree,Somewhat agree,Strongly disagree,,,2,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,"it appears that when you refresh the page in chrome, the code will not save. This happens regardless of whether the save button has been clicked.  talking to the guy next to me it seems that this is not an issue on firefox, but it is a problem in chrome browser",3,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,"I tried intentionally messing up on portions of the inheritance syntax, and the AI feedback gave me a response that solved that point for me by stating the answer. I wouldn't be concerned because the small change that it was would be equivalent to what I would expect to receive from a TA or tutor.",4,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,"couple of comments. I had omitted the ':' at the end of my class declaration, and the AI feedback said ""Class Definition: Make sure you use parentheses when defining your class. It should be class Timer:"".  It started by saying to use parentheses, but then it corrected itself by showing the '...Timer:' afterwards. Aside from that, AI responses are looking good while still not directly giving the user the answer (I really tried pushing it)"
