,Function Definition,Recursion,Conditional Statements,Loops,Class Definition,Instance Variables,Mathematical Operations,List Operations,String Operations,Nested Data Structures,Error Handling,Mathematical Sequences,Row_Avg,Column_Avg_New
1,14,0,17,17,0,0,13,3,14,0,0,0,0.828,
2,18,0,16,17,0,0,15,18,0,0,0,2,0.913,
3,19,1,5,14,0,0,1,18,14,0,0,0,0.764,
4,17,17,17,3,0,0,18,4,2,0,0,17,1.007,
5,19,11,15,2,0,0,2,2,12,0,0,0,0.835,
6,19,14,17,14,0,0,0,12,0,19,0,0,0.841,
7,14,0,0,0,17,16,16,0,3,0,0,0,0.878,
8,16,0,0,0,16,12,16,0,1,0,0,0,0.811,
9,17,0,12,0,18,13,17,0,2,0,4,0,0.88,
Column_Avg,0.894736842,0.736842105,0.744360902,0.684210526,0.894736842,0.719298246,0.833333333,0.578947368,0.565789474,1,0.210526316,0.894736842,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SUM of Successful Attempts at KC's which are relevent,153,42,99,65,51,41,95,55,43,19,4,17,,
Total Opertunities of relevant KC's in the exercise.,171,57,133,95,57,57,114,95,76,19,19,19,,
